codelist_code,term_code,term_value,collected_value,term_preferred_term,term_synonyms
C74456,C116163,5TH LUMBAR SPINOUS PROCESS,5TH LUMBAR SPINOUS PROCESS,Fifth Lumbar Spinous Process,
C74456,C32038,ABDOMINAL AORTA,ABDOMINAL AORTA,Abdominal Aorta,
C74456,C12664,ABDOMINAL CAVITY,ABDOMINAL CAVITY,Abdomen,Abdomen
C74456,C12360,ABDOMINAL LYMPH NODE,ABDOMINAL LYMPH NODE,Abdominal Lymph Node,
C74456,C151399,"ABDOMINAL QUADRANT, LEFT LOWER","ABDOMINAL QUADRANT, LEFT LOWER",Left Lower Quadrant of Abdomen,
C74456,C151397,"ABDOMINAL QUADRANT, LEFT UPPER","ABDOMINAL QUADRANT, LEFT UPPER",Left Upper Quadrant of Abdomen,
C74456,C151400,"ABDOMINAL QUADRANT, RIGHT LOWER","ABDOMINAL QUADRANT, RIGHT LOWER",Right Lower Quadrant of Abdomen,
C74456,C151398,"ABDOMINAL QUADRANT, RIGHT UPPER","ABDOMINAL QUADRANT, RIGHT UPPER",Right Upper Quadrant of Abdomen,
C74456,C139186,ABDOMINAL REGION,ABDOMINAL REGION,Abdominal Region,
C74456,C52758,ABDOMINAL SKIN,ABDOMINAL SKIN,Abdominal Skin,Abdominal Skin
C74456,C225624,ABDOMINAL WALL SOFT TISSUE,ABDOMINAL WALL SOFT TISSUE,Abdominal Wall Soft Tissue,
C74456,C77608,ABDOMINAL WALL,ABDOMINAL WALL,Abdominal Wall,
C74456,C12665,ABDUCENS NERVE,ABDUCENS NERVE,Abducens Nerve,
C74456,C165996,ABDUCTOR DIGITI MINIMI MUSCLE OF THE HAND,ABDUCTOR DIGITI MINIMI MUSCLE OF THE HAND,Abductor Digiti Minimi Muscle of the Hand,
C74456,C163504,ABDUCTOR DIGITI QUINTI MUSCLE,ABDUCTOR DIGITI QUINTI MUSCLE,Abductor Digiti Minimi Muscle,Abductor Digiti Minimi; Abductor Minimi Digiti
C74456,C163505,ABDUCTOR HALLUCIS MUSCLE,ABDUCTOR HALLUCIS MUSCLE,Abductor Hallucis Muscle,
C74456,C165997,ABDUCTOR POLLICIS BREVIS MUSCLE,ABDUCTOR POLLICIS BREVIS MUSCLE,Abductor Pollicis Brevis Muscle,
C74456,C52888,ABDUCTOR POLLICIS LONGUS MUSCLE,ABDUCTOR POLLICIS LONGUS MUSCLE,Abductor Pollicis Longus,
C74456,C116183,ACCESSORY RENAL ARTERY,ACCESSORY RENAL ARTERY,Accessory Renal Artery,
C74456,C32042,ACETABULUM,ACETABULUM,Acetabulum,Acetabulum
C74456,C32043,ACHILLES TENDON,ACHILLES TENDON,Achilles Tendon,
C74456,C32047,ACROMIOCLAVICULAR JOINT,ACROMIOCLAVICULAR JOINT,Acromioclavicular Joint,Acromioclavicular Joint
C74456,C32048,ACROMION,ACROMION,Acromion,Acromion
C74456,C102285,ACUTE MARGINAL ARTERY,ACUTE MARGINAL ARTERY,Acute Marginal Artery,ACUTE MARGINAL ARTERY SEGMENT(S); AMARG
C74456,C163506,ADDUCTOR BREVIS MUSCLE,ADDUCTOR BREVIS MUSCLE,Adductor Brevis Muscle,
C74456,C163507,"ADDUCTOR HALLUCIS MUSCLE, OBLIQUE HEAD","ADDUCTOR HALLUCIS MUSCLE, OBLIQUE HEAD",Oblique Head of Adductor Hallucis Muscle,
C74456,C163508,"ADDUCTOR HALLUCIS MUSCLE, TRANSVERSE HEAD","ADDUCTOR HALLUCIS MUSCLE, TRANSVERSE HEAD",Transverse Head of Adductor Hallucis Muscle,
C74456,C163509,ADDUCTOR LONGUS MUSCLE,ADDUCTOR LONGUS MUSCLE,Adductor Longus Muscle,
C74456,C163510,ADDUCTOR MAGNUS MUSCLE,ADDUCTOR MAGNUS MUSCLE,Adductor Magnus Muscle,
C74456,C186100,ADDUCTOR POLLICIS MUSCLE,ADDUCTOR POLLICIS MUSCLE,Adductor Pollicis Muscle,
C74456,C12666,ADRENAL GLAND,ADRENAL GLAND,Adrenal Gland,
C74456,C129430,ALISPHENOID PROCESS,ALISPHENOID PROCESS,Sphenoid Wing,Greater Wing of the Sphenoid Bone
C74456,C89749,ALVEOLAR PROCESS,ALVEOLAR PROCESS,Alveolar Ridge,Alveolar Margin; Alveolar Ridge
C74456,C12986,ALVEOLUS,ALVEOLUS,Alveolus,Alveoli
C74456,C13188,AMNIOTIC FLUID,AMNIOTIC FLUID,Amniotic Fluid,Aqua Amnii
C74456,C13011,AMPULLA OF VATER,AMPULLA OF VATER,Ampulla of Vater,
C74456,C12440,AMYGDALA,AMYGDALA,Amygdala,Amygdala; Amygdaloid Body; Amygdaloid Nucleus
C74456,C12375,ANAL CANAL,ANAL CANAL,Anal Canal,
C74456,C32069,ANAL REGION,ANAL REGION,Anal Region,
C74456,C165177,ANAL SPHINCTER,ANAL SPHINCTER,Anal Sphincter,
C74456,C25419,ANAL VERGE,ANAL VERGE,Anal Margin,
C74456,C15609,ANASTOMOSIS,ANASTOMOSIS,Anastomosis,Anastomosis
C74456,C186101,ANCONEUS MUSCLE,ANCONEUS MUSCLE,Anconeus Muscle,
C74456,C32077,ANGULAR GYRUS,ANGULAR GYRUS,Angular Gyrus,
C74456,C204661,ANKLE DORSIFLEXOR MUSCLES,ANKLE DORSIFLEXOR MUSCLES,Ankle Dorsiflexor Muscles,
C74456,C161390,ANKLE JOINT ANTERIOR EXTENSOR TENDONS,ANKLE JOINT ANTERIOR EXTENSOR TENDONS,Ankle Joint Anterior Extensor Tendons,
C74456,C161389,ANKLE JOINT ANTERIOR FLEXOR TENDONS,ANKLE JOINT ANTERIOR FLEXOR TENDONS,Ankle Joint Anterior Flexor Tendons,
C74456,C32078,ANKLE JOINT,ANKLE JOINT,Ankle Joint,Ankle; Ankle Joint
C74456,C117868,ANKLE MORTISE,ANKLE MORTISE,Ankle Mortise,Talar Mortise
C74456,C186102,ANORECTUM,ANORECTUM,Anorectal Area,
C74456,C103238,ANTECUBITAL FOSSA,ANTECUBITAL FOSSA,Antecubital Fossa,Antecubital Region
C74456,C12829,ANTERIOR CEREBRAL ARTERY,ANTERIOR CEREBRAL ARTERY,Anterior Cerebral Artery,ACA
C74456,C139185,ANTERIOR CINGULATE CORTEX,ANTERIOR CINGULATE CORTEX,Anterior Cingulate Cortex,
C74456,C187996,ANTERIOR CINGULATE GYRUS,ANTERIOR CINGULATE GYRUS,Anterior Cingulate Gyrus,
C74456,C32637,ANTERIOR HORN OF THE LATERAL VENTRICLE,ANTERIOR HORN OF THE LATERAL VENTRICLE,Frontal Horn of the Lateral Ventricle,Frontal Horn of the Lateral Ventricle
C74456,C32091,ANTERIOR INFERIOR CEREBELLAR ARTERY,ANTERIOR INFERIOR CEREBELLAR ARTERY,Anterior Inferior Cerebellar Artery,AICA
C74456,C32097,ANTERIOR MEDIASTINAL LYMPH NODE,ANTERIOR MEDIASTINAL LYMPH NODE,Anterior Mediastinal Lymph Node,Prevascular Lymph Node
C74456,C139187,ANTERIOR SUPERIOR ILIAC SPINE,ANTERIOR SUPERIOR ILIAC SPINE,Anterior Superior Iliac Spine,
C74456,C12825,ANTERIOR TIBIAL ARTERY,ANTERIOR TIBIAL ARTERY,Anterior Tibial Artery,
C74456,C32115,ANTERIOR TIBIAL VEIN,ANTERIOR TIBIAL VEIN,Anterior Tibial Vein,
C74456,C12259,ANTRUM PYLORI,ANTRUM PYLORI,Antrum Pylori,Antrum Pylori
C74456,C43362,ANUS,ANUS,Anus,
C74456,C12669,AORTA,AORTA,Aorta,
C74456,C32123,AORTIC ARCH,AORTIC ARCH,Aortic Arch,Aortic Arch
C74456,C97112,AORTIC BODY,AORTIC BODY,Aortic Body,
C74456,C130167,AORTIC VALVE ANNULUS,AORTIC VALVE ANNULUS,Aortic Valve Annulus,
C74456,C12670,AORTIC VALVE,AORTIC VALVE,Aortic Valve,
C74456,C127638,"AORTIC VALVE, LEFT CORONARY CUSP","AORTIC VALVE, LEFT CORONARY CUSP",Left Coronary Cusp of the Aortic Valve,"Aortic Valve, Left Semilunar Cusp"
C74456,C127639,"AORTIC VALVE, NON-CORONARY CUSP","AORTIC VALVE, NON-CORONARY CUSP",Non-Coronary Cusp of the Aortic Valve,"Aortic Valve, Posterior Semilunar Cusp"
C74456,C127640,"AORTIC VALVE, RIGHT CORONARY CUSP","AORTIC VALVE, RIGHT CORONARY CUSP",Right Coronary Cusp of the Aortic Valve,"Aortic Valve, Right Semilunar Cusp"
C74456,C186103,AORTICOPULMONARY SEPTUM,AORTICOPULMONARY SEPTUM,Aorticopulmonary Septum,
C74456,C116166,AORTO-ILIAC PERIPHERAL ARTERY,AORTO-ILIAC PERIPHERAL ARTERY,Aortoiliac Artery Segment,
C74456,C118775,AORTOCAVAL LYMPH NODE,AORTOCAVAL LYMPH NODE,Aortocaval Lymph Node,
C74456,C116165,AORTOPULMONARY WINDOW LYMPH NODE,AORTOPULMONARY WINDOW LYMPH NODE,Aortopulmonary Window Lymph Node,
C74456,C83470,APPENDICEAL TIP,APPENDICEAL TIP,Appendiceal Tip,
C74456,C49477,APPENDICULAR SKELETON,APPENDICULAR SKELETON,Appendicular Skeleton,
C74456,C12380,APPENDIX,APPENDIX,Appendix,
C74456,C13190,AQUEOUS HUMOR,AQUEOUS HUMOR,Aqueous Humor,Aqueous Humour
C74456,C52754,ARM SKIN,ARM SKIN,Arm Skin,Arm Skin
C74456,C32141,ARM,ARM,Arm,Arm; Brachium; Upper Arm
C74456,C12372,ARTERY,ARTERY,Artery,Artery
C74456,C32150,ASCENDING AORTA,ASCENDING AORTA,Ascending Aorta,
C74456,C127641,"ASCENDING AORTA, AORTIC ROOT","ASCENDING AORTA, AORTIC ROOT",Aortic Root,
C74456,C127642,"ASCENDING AORTA, SINOTUBULAR JUNCTION","ASCENDING AORTA, SINOTUBULAR JUNCTION",Sinotubular Junction,
C74456,C33557,"ASCENDING AORTA, SINUS OF VALSALVA","ASCENDING AORTA, SINUS OF VALSALVA",Sinus of Valsalva,
C74456,C186104,ATRIOVENTRICULAR SEPTUM,ATRIOVENTRICULAR SEPTUM,Atrioventricular Septum,
C74456,C176322,ATRIOVENTRICULAR VALVE,ATRIOVENTRICULAR VALVE,Atrioventricular Valve,
C74456,C32164,AUDITORY OSSICLE,AUDITORY OSSICLE,Auditory Ossicle,Ossicles of the Ear
C74456,C32172,AXIAL SKELETON,AXIAL SKELETON,Axial Skeleton,
C74456,C12674,AXILLA,AXILLA,Axilla,Armpit; Axilla
C74456,C32169,AXILLARY ARTERY,AXILLARY ARTERY,Axillary Artery,
C74456,C123461,AXILLARY LYMPH NODE LEVEL I,AXILLARY LYMPH NODE LEVEL I,Axillary Lymph Node Level I,
C74456,C123462,AXILLARY LYMPH NODE LEVEL II,AXILLARY LYMPH NODE LEVEL II,Axillary Lymph Node Level II,
C74456,C123463,AXILLARY LYMPH NODE LEVEL III,AXILLARY LYMPH NODE LEVEL III,Axillary Lymph Node Level III,
C74456,C12904,AXILLARY LYMPH NODE,AXILLARY LYMPH NODE,Axillary Lymph Node,
C74456,C32171,AXILLARY VEIN,AXILLARY VEIN,Axillary Vein,
C74456,C53029,AZYGOS VEIN,AZYGOS VEIN,Azygos Vein,
C74456,C13062,BACK,BACK,Back,Back
C74456,C12447,BASAL GANGLIA,BASAL GANGLIA,Basal Ganglia,
C74456,C12228,BASE OF THE TONGUE,BASE OF THE TONGUE,Base of Tongue,
C74456,C12676,BASILAR ARTERY,BASILAR ARTERY,Basilar Artery,
C74456,C32197,BASILIC VEIN,BASILIC VEIN,Basilic Vein,Basilic Vein
C74456,C186105,BASIOCCIPITAL BONE,BASIOCCIPITAL BONE,Basioccipital Bone,
C74456,C186106,BASISPHENOID BONE,BASISPHENOID BONE,Basisphenoid Bone,
C74456,C32200,BICEPS BRACHII MUSCLE,BICEPS BRACHII MUSCLE,Biceps Brachii,
C74456,C214698,BICEPS BRACHII TENDONS,BICEPS BRACHII TENDONS,Biceps Brachii Tendon,
C74456,C53147,BICEPS FEMORIS MUSCLE,BICEPS FEMORIS MUSCLE,Biceps Femoris,
C74456,C221582,"BICEPS FEMORIS MUSCLE, LONG HEAD","BICEPS FEMORIS MUSCLE, LONG HEAD",Long Head of Biceps Femoris Muscle,
C74456,C221583,"BICEPS FEMORIS MUSCLE, SHORT HEAD","BICEPS FEMORIS MUSCLE, SHORT HEAD",Short Head of Biceps Femoris Muscle,
C74456,C12376,BILE DUCT,BILE DUCT,Bile Duct,
C74456,C12678,BILIARY TRACT,BILIARY TRACT,Biliary Tract,Biliary Tract
C74456,C48941,BLADDER WALL,BLADDER WALL,Bladder Wall,
C74456,C12414,BLADDER,BLADDER,Bladder,Urinary Bladder
C74456,C198292,"BLADDER, APEX","BLADDER, APEX",Bladder Apex,
C74456,C198293,"BLADDER, BODY","BLADDER, BODY",Bladder Body,
C74456,C12332,"BLADDER, DOME","BLADDER, DOME",Dome of the Bladder,Dome of the Bladder
C74456,C48939,"BLADDER, FUNDUS","BLADDER, FUNDUS",Bladder Fundus,Fundus of the Bladder
C74456,C12336,"BLADDER, NECK","BLADDER, NECK",Bladder Neck,Neck of the Bladder
C74456,C12331,"BLADDER, TRIGONE","BLADDER, TRIGONE",Bladder Trigone,Trigone of the Bladder
C74456,C12679,BLOOD VESSEL,BLOOD VESSEL,Blood Vessel,
C74456,C12434,BLOOD,BLOOD,Blood,Peripheral Blood; Whole Blood
C74456,C12258,BODY OF STOMACH,BODY OF STOMACH,Body of Stomach,Body of Stomach
C74456,C13041,BODY,BODY,Body,Whole Body
C74456,C12431,BONE MARROW,BONE MARROW,Bone Marrow,
C74456,C12366,BONE,BONE,Bone,
C74456,C12681,BRACHIAL ARTERY,BRACHIAL ARTERY,Brachial Artery,
C74456,C92221,BRACHIAL LYMPH NODE,BRACHIAL LYMPH NODE,Brachial Lymph Node,
C74456,C12682,BRACHIAL PLEXUS,BRACHIAL PLEXUS,Brachial Plexus,Brachial Plexus
C74456,C12883,BRACHIAL VEIN,BRACHIAL VEIN,Brachial Vein,
C74456,C53149,BRACHIALIS MUSCLE,BRACHIALIS MUSCLE,Brachialis,
C74456,C32814,BRACHIOCEPHALIC ARTERY,BRACHIOCEPHALIC ARTERY,Innominate Artery,Innominate Artery
C74456,C150849,BRACHIORADIALIS MUSCLE,BRACHIORADIALIS MUSCLE,Brachioradialis Muscle,
C74456,C12441,BRAIN STEM,BRAIN STEM,Brain Stem,Brain Stem
C74456,C12356,BRAIN VENTRICLE,BRAIN VENTRICLE,Brain Ventricle,Brain Ventricle
C74456,C12834,"BRAIN VENTRICLE, LATERAL","BRAIN VENTRICLE, LATERAL",Lateral Ventricle,
C74456,C12439,BRAIN,BRAIN,Brain,"Nervous System, Brain"
C74456,C32550,"BRAIN, EXTERNAL CAPSULE","BRAIN, EXTERNAL CAPSULE",External Capsule,
C74456,C12828,"BRAIN, FOURTH VENTRICLE","BRAIN, FOURTH VENTRICLE",Fourth Ventricle,
C74456,C13082,"BRAIN, INTERNAL CAPSULE","BRAIN, INTERNAL CAPSULE",Internal Capsule,
C74456,C132390,"BRAIN, PERIVENTRICULAR REGION","BRAIN, PERIVENTRICULAR REGION",Periventricular Region,
C74456,C12827,"BRAIN, THIRD VENTRICLE","BRAIN, THIRD VENTRICLE",Third Ventricle,
C74456,C12971,BREAST,BREAST,Breast,Breast
C74456,C12318,BROAD LIGAMENT,BROAD LIGAMENT,Broad Ligament,
C74456,C221585,BRODMANN AREA 10,BRODMANN AREA 10,Brodmann Area 10,BA 10
C74456,C221584,BRODMANN AREA 8,BRODMANN AREA 8,Brodmann Area 8,BA 8
C74456,C186107,BRONCHIAL STUMP,BRONCHIAL STUMP,Bronchial Stump,
C74456,C12684,BRONCHIOLE,BRONCHIOLE,Bronchiole,
C74456,C12683,BRONCHUS,BRONCHUS,Bronchus,Bronchi
C74456,C154770,BUCCAL LYMPH NODE,BUCCAL LYMPH NODE,Buccal Lymph Node,Buccinator Lymph Node
C74456,C12505,BUCCAL MUCOSA,BUCCAL MUCOSA,Buccal Mucosa,
